Gene_IDs	Gene_Names	log2FoldChange	pvalue	padj
ENSG00000162601	MYSM1	4.420592353	6.54E-08	1.81E-06
ENSG00000116584	ARHGEF2	4.41944365	9.89E-05	0.000959052
ENSG00000060749	QSER1	4.419260104	1.57E-05	0.000200398
ENSG00000065054	NHERF2	4.418756811	1.55E-03	0.009421506
ENSG00000066279	ASPM	4.412557135	1.07E-05	0.000145613
ENSG00000163125	RPRD2	4.404251384	5.72E-06	8.53E-05
ENSG00000171105	INSR	4.399413747	2.45E-05	0.000293916
ENSG00000182504	CEP97	4.396976009	3.91E-04	0.003024207
ENSG00000147162	OGT	4.396948447	1.64E-06	2.94E-05
ENSG00000114374	USP9Y	4.396268766	2.02E-04	0.001739303
ENSG00000077157	PPP1R12B	4.39463244	7.82E-04	0.005391408
ENSG00000119403	PHF19	4.393192915	1.27E-04	0.00117757
ENSG00000107560	RAB11FIP2	4.38378534	1.57E-03	0.009465666
ENSG00000197020	ZNF100	4.368461495	5.99E-05	0.000637233
ENSG00000164284	GRPEL2	4.36070574	4.54E-06	6.99E-05
ENSG00000133624	ZNF767P	4.35586393	4.50E-05	0.000500841
ENSG00000064651	SLC12A2	4.355240777	1.48E-05	0.000190804
ENSG00000146122	DAAM2	4.347640146	1.26E-04	0.001171037
ENSG00000110497	AMBRA1	4.347436253	3.20E-04	0.00255749
ENSG00000135749	PCNX2	4.347392848	1.32E-03	0.008287533
ENSG00000160305	DIP2A	4.331535896	2.97E-06	4.88E-05
ENSG00000007202	BLTP2	4.328726303	3.81E-14	4.04E-12
ENSG00000101752	MIB1	4.328537203	2.46E-07	5.66E-06
ENSG00000124459	ZNF45	4.328057907	9.01E-04	0.006046788
ENSG00000100425	BRD1	4.320199073	4.28E-04	0.003280234
ENSG00000088812	ATRN	4.31303034	4.72E-04	0.00354202
ENSG00000164494	PDSS2	4.311806563	1.85E-04	0.001613322
ENSG00000146592	CREB5	4.309923443	1.43E-05	0.000185824
ENSG00000126012	KDM5C	4.30746955	1.81E-06	3.19E-05
ENSG00000131914	LIN28A	4.306541983	9.30E-04	0.006206268
ENSG00000272325	NUDT3	4.303929385	1.35E-05	0.000175899
ENSG00000162378	ZYG11B	4.299221564	7.66E-04	0.005310237
ENSG00000197961	ZNF121	4.295248684	2.00E-05	0.000248446
ENSG00000165832	TRUB1	4.291972127	1.39E-04	0.001266079
ENSG00000189058	APOD	4.290850402	3.73E-04	0.002904878
ENSG00000262370	RP11-473M20.9	4.284336621	3.49E-04	0.002744458
ENSG00000066135	KDM4A	4.284323945	2.41E-04	0.002009087
ENSG00000164879	CA3	4.281329416	3.89E-04	0.003013044
ENSG00000108423	TUBD1	4.278048727	2.02E-04	0.001737816
ENSG00000113441	LNPEP	4.271512806	1.47E-18	2.82E-16
ENSG00000165983	PTER	4.263818654	1.13E-04	0.00106691
ENSG00000118513	MYB	4.262176115	1.36E-03	0.008495086
ENSG00000156304	SCAF4	4.260147613	4.80E-06	7.31E-05
ENSG00000163781	TOPBP1	4.25874527	2.54E-07	5.82E-06
ENSG00000233864	TTTY15	4.253346666	5.94E-04	0.004271422
ENSG00000101425	BPI	4.252292326	3.06E-04	0.002460715
ENSG00000158470	B4GALT5	4.251450589	2.26E-05	0.000274947
ENSG00000110048	OSBP	4.247136815	1.08E-05	0.000146785
ENSG00000135473	PAN2	4.244151506	1.18E-03	0.007478869
ENSG00000181827	RFX7	4.240885883	9.89E-05	0.000959052
ENSG00000103313	MEFV	4.24075711	5.83E-04	0.004208349
ENSG00000099624	ATP5F1D	4.238911075	9.42E-07	1.80E-05
ENSG00000197930	ERO1A	4.236548271	7.41E-04	0.005166526
ENSG00000047365	ARAP2	4.233873849	8.55E-06	0.000120462
ENSG00000197619	ZNF615	4.232270304	1.30E-03	0.008141994
ENSG00000019995	ZRANB1	4.229728987	3.38E-06	5.41E-05
ENSG00000105576	TNPO2	4.225068287	7.02E-13	5.61E-11
ENSG00000110756	HPS5	4.223695932	3.62E-07	7.94E-06
ENSG00000103932	RPAP1	4.220886458	2.00E-04	0.001728661
ENSG00000111670	GNPTAB	4.217953374	1.04E-11	6.56E-10
ENSG00000116095	PLEKHA3	4.214274036	1.30E-05	0.00017049
ENSG00000202354	RNY3	4.21419902	1.20E-05	0.000160246
ENSG00000198918	RPL39	4.200581597	1.65E-10	8.60E-09
ENSG00000154898	CCDC144CP	4.197667361	9.78E-05	0.000952626
ENSG00000109756	RAPGEF2	4.193835893	3.50E-08	1.03E-06
ENSG00000150457	LATS2	4.193608954	4.39E-05	0.000489863
ENSG00000197818	SLC9A8	4.190922381	4.75E-04	0.003559653
ENSG00000056277	ZNF280C	4.179508723	1.07E-03	0.006946459
ENSG00000151229	SLC2A13	4.177417337	1.40E-03	0.008629432
